repeat,pr_focused_extra,roc_focused_extra,top5_precision_focused_extra,pr_strict_history,roc_strict_history,top5_precision_strict_history,pr_target_history_sensitivity,roc_target_history_sensitivity,top5_precision_target_history_sensitivity
85,0.2373817616147001,0.6700709123437525,0.336318407960199,0.2546089821765179,0.6808206148232215,0.3582089552238806,0.2561574940105509,0.679831999416781,0.37711442786069654
86,0.25484671869141784,0.6794025696232563,0.3640922768304915,0.27759515354987896,0.6979043511737915,0.39618856569709127,0.2888622991760835,0.6972950127675148,0.41624874623871616
87,0.25157297046765226,0.6850056064311025,0.3451417004048583,0.2708269143760669,0.696527835866277,0.39068825910931176,0.278341055089911,0.697305987976322,0.4008097165991903
88,0.26238534406572156,0.6848249899106928,0.36163836163836166,0.27739828190939936,0.6920290644691758,0.3806193806193806,0.2823918088789472,0.6901865326622115,0.3906093906093906
89,0.2415699841800252,0.6697943971393283,0.3343253968253968,0.2594473752136078,0.684321616086412,0.3680555555555556,0.2630653617908326,0.6846429926362787,0.38492063492063494
90,0.21899198546953447,0.6694053461011313,0.29897959183673467,0.2378778780326772,0.6852711251207755,0.3173469387755102,0.24399517173063842,0.684138308973864,0.32857142857142857
91,0.23302083564425832,0.6718160426612536,0.3171225937183384,0.24950864286133423,0.6826538033422298,0.3434650455927052,0.25698372853519325,0.6831269500169158,0.3566362715298885
92,0.24893527489006975,0.6811124706327085,0.358148893360161,0.26577663652373856,0.6927201564790502,0.3772635814889336,0.2703797171883526,0.6926509795906513,0.4044265593561368
93,0.2463696976521944,0.6769291571357058,0.35995955510616784,0.2678867259190425,0.6873129942376087,0.3872598584428716,0.27492511240782813,0.6887837587390224,0.3923154701718908
94,0.2293555289210619,0.6711388958484736,0.31822759315206445,0.24496964704459773,0.681802959543977,0.3363544813695871,0.24741591523185721,0.6815837715278112,0.35850956696878145
95,0.255683007078449,0.6842554839109698,0.35591506572295245,0.2777542376436762,0.6979521991647264,0.391304347826087,0.2781521641933441,0.6975342096955951,0.40546006066734075
96,0.25730386585060033,0.6787989488935555,0.35606820461384153,0.279784973947765,0.6886949004704517,0.40220661985957873,0.287131322436162,0.6896492738268661,0.40521564694082246
97,0.23483998857034094,0.6806472694284785,0.32323232323232326,0.2566105461773831,0.6920983559832966,0.35858585858585856,0.25666879935579434,0.6905982046999405,0.3575757575757576
98,0.2544026184558376,0.6791919259060499,0.3611670020120724,0.27582511684825095,0.6931272576316002,0.37927565392354123,0.27120421287407226,0.6929128871259641,0.39134808853118713
99,0.23677652921661638,0.6804841281878053,0.3313253012048193,0.2573826622823778,0.693545544745065,0.35843373493975905,0.26215446337373544,0.6932695376510953,0.3493975903614458
100,0.25559933525792217,0.6822264884234355,0.36863136863136864,0.2694301395649622,0.6927878938089033,0.3926073926073926,0.27022322637100965,0.690934424717039,0.3986013986013986
101,0.26351073291023613,0.6832505754478291,0.37003968253968256,0.28287902914927515,0.6945595437634163,0.39285714285714285,0.29069535182293915,0.6942448828776346,0.4156746031746032
102,0.24466752393578056,0.6816722422067876,0.36472945891783565,0.25472585700994077,0.6920292303706685,0.3637274549098196,0.25852498149468855,0.6912807563483847,0.375751503006012
103,0.24613285874874252,0.6755439014704718,0.33300198807157055,0.26264096640038204,0.6862876154391403,0.37077534791252487,0.26700613584616006,0.6863046441048134,0.38071570576540753
104,0.23651690040900253,0.6810881072372168,0.3290513833992095,0.25442859030101667,0.6928569757204669,0.358695652173913,0.26925979318093735,0.6929482953245961,0.3784584980237154
105,0.24638324064532624,0.6844576198552024,0.33601609657947684,0.2665397968292831,0.6958867882696701,0.3682092555331992,0.26903216572394356,0.6963970477254363,0.37525150905432597
